username,weeks,length,class,Reading,Highligt,Notetaking,empty
108208505,1 ,5 ,1,60,20,20,0
108208505,2 ,37 ,0,51,45,2,0
108208505,3 ,28 ,0,50,39,10,0
108208505,4 ,1 ,-1,100,0,0,0
108208505,5 ,18 ,1,50,27,22,0
108208505,6 ,41 ,0,51,46,2,0
108208505,7 ,1 ,-1,0,0,0,100
108401512,1 ,59 ,0,50,47,1,0
108401512,2 ,39 ,0,51,41,7,0
108401512,3 ,9 ,1,55,11,33,0
108401512,4 ,21 ,1,52,47,0,0
108401512,5 ,35 ,0,51,45,2,0
108401512,6 ,29 ,0,51,41,6,0
108401512,7 ,5 ,1,60,0,40,0
108408513,1 ,1 ,-1,100,0,0,0
108408513,2 ,40 ,0,45,35,20,0
108408513,3 ,33 ,0,51,24,24,0
108408513,4 ,1 ,-1,100,0,0,0
108408513,5 ,33 ,0,51,9,39,0
108408513,6 ,47 ,0,51,17,31,0
108408513,7 ,21 ,1,52,4,42,0
108409003,1 ,1 ,-1,0,0,0,100
108409003,2 ,61 ,0,50,42,6,0
108409003,3 ,43 ,0,51,27,20,0
108409003,4 ,1 ,-1,100,0,0,0
108409003,5 ,21 ,1,52,23,23,0
108409003,6 ,13 ,1,53,38,7,0
108409003,7 ,13 ,1,53,38,7,0
108409019,1 ,1 ,-1,0,0,0,100
108409019,2 ,35 ,0,51,34,14,0
108409019,3 ,1 ,-1,0,0,0,100
108409019,4 ,1 ,-1,0,0,0,100
108409019,5 ,1 ,-1,0,0,0,100
108409019,6 ,1 ,-1,0,0,0,100
108409019,7 ,1 ,-1,0,0,0,100
108409021,1 ,1 ,-1,0,0,0,100
108409021,2 ,56 ,0,50,25,25,0
108409021,3 ,17 ,1,52,23,23,0
108409021,4 ,1 ,-1,100,0,0,0
108409021,5 ,81 ,0,50,25,23,0
108409021,6 ,1 ,-1,100,0,0,0
108409021,7 ,13 ,1,53,38,7,0
108409515,1 ,13 ,1,53,30,15,0
108409515,2 ,44 ,0,50,38,11,0
108409515,3 ,70 ,0,50,11,38,0
108409515,4 ,1 ,-1,100,0,0,0
108409515,5 ,48 ,0,50,25,25,0
108409515,6 ,57 ,0,49,19,31,0
108409515,7 ,30 ,0,50,16,33,0
108409518,1 ,1 ,-1,0,0,0,100
108409518,2 ,5 ,1,60,0,40,0
108409518,3 ,17 ,1,52,41,5,0
108409518,4 ,1 ,-1,100,0,0,0
108409518,5 ,11 ,1,54,36,9,0
108409518,6 ,27 ,0,51,44,3,0
108409518,7 ,29 ,0,51,44,3,0
108409519,1 ,7 ,1,57,28,14,0
108409519,2 ,45 ,0,48,40,11,0
108409519,3 ,26 ,0,50,7,42,0
108409519,4 ,1 ,-1,0,0,0,100
108409519,5 ,18 ,1,50,5,44,0
108409519,6 ,19 ,1,52,10,36,0
108409519,7 ,16 ,1,50,6,43,0
108409523,1 ,7 ,1,57,42,0,0
108409523,2 ,134 ,0,44,32,23,0
108409523,3 ,58 ,0,43,31,25,0
108409523,4 ,1 ,-1,100,0,0,0
108409523,5 ,48 ,0,47,39,12,0
108409523,6 ,38 ,0,44,44,10,0
108409523,7 ,20 ,1,50,40,10,0
108409526,1 ,3 ,1,66,33,0,0
108409526,2 ,34 ,0,47,38,14,0
108409526,3 ,37 ,0,48,21,29,0
108409526,4 ,1 ,-1,100,0,0,0
108409526,5 ,13 ,1,53,38,7,0
108409526,6 ,1 ,-1,100,0,0,0
108409526,7 ,1 ,-1,0,0,0,100
108602005,1 ,1 ,-1,0,0,0,100
108602005,2 ,30 ,0,50,13,36,0
108602005,3 ,24 ,0,50,20,29,0
108602005,4 ,1 ,-1,100,0,0,0
108602005,5 ,16 ,1,50,31,18,0
108602005,6 ,14 ,1,42,21,35,0
108602005,7 ,20 ,1,45,30,25,0
108801501,1 ,10 ,1,50,30,20,0
108801501,2 ,39 ,0,51,43,5,0
108801501,3 ,63 ,0,50,34,14,0
108801501,4 ,1 ,-1,100,0,0,0
108801501,5 ,97 ,0,50,35,14,0
108801501,6 ,49 ,0,51,42,6,0
108801501,7 ,31 ,0,51,41,6,0
108821021,1 ,1 ,-1,100,0,0,0
108821021,2 ,3 ,1,66,0,33,0
108821021,3 ,23 ,1,52,34,13,0
108821021,4 ,1 ,-1,100,0,0,0
108821021,5 ,1 ,-1,0,0,0,100
108821021,6 ,1 ,-1,0,0,0,100
108821021,7 ,20 ,1,50,45,5,0
109101504,1 ,1 ,-1,100,0,0,0
109101504,2 ,72 ,0,50,38,11,0
109101504,3 ,55 ,0,50,45,3,0
109101504,4 ,1 ,-1,100,0,0,0
109101504,5 ,63 ,0,50,38,11,0
109101504,6 ,35 ,0,51,45,2,0
109101504,7 ,25 ,0,52,44,4,0
109103010,1 ,1 ,-1,100,0,0,0
109103010,2 ,39 ,0,51,38,10,0
109103010,3 ,115 ,0,50,36,13,0
109103010,4 ,25 ,0,52,48,0,0
109103010,5 ,63 ,0,50,34,14,0
109103010,6 ,39 ,0,51,35,12,0
109103010,7 ,22 ,1,50,22,27,0
109103201,1 ,1 ,-1,100,0,0,0
109103201,2 ,69 ,0,49,37,13,0
109103201,3 ,51 ,0,49,29,21,0
109103201,4 ,7 ,1,57,0,42,0
109103201,5 ,35 ,0,48,31,20,0
109103201,6 ,50 ,0,50,20,30,0
109103201,7 ,25 ,0,52,32,16,0
109401006,1 ,31 ,0,51,48,0,0
109401006,2 ,51 ,0,47,41,11,0
109401006,3 ,79 ,0,45,36,17,0
109401006,4 ,3 ,1,66,33,0,0
109401006,5 ,40 ,0,50,40,10,0
109401006,6 ,45 ,0,48,40,11,0
109401006,7 ,33 ,0,51,45,3,0
109401010,1 ,1 ,-1,0,0,0,100
109401010,2 ,25 ,0,48,32,20,0
109401010,3 ,31 ,0,51,38,9,0
109401010,4 ,1 ,-1,100,0,0,0
109401010,5 ,33 ,0,51,42,6,0
109401010,6 ,27 ,0,51,44,3,0
109401010,7 ,31 ,0,51,45,3,0
109401028,1 ,1 ,-1,100,0,0,0
109401028,2 ,15 ,1,53,26,20,0
109401028,3 ,41 ,0,51,24,24,0
109401028,4 ,1 ,-1,100,0,0,0
109401028,5 ,27 ,0,51,22,25,0
109401028,6 ,25 ,0,52,4,44,0
109401028,7 ,5 ,1,60,0,40,0
109401042,1 ,1 ,-1,100,0,0,0
109401042,2 ,7 ,1,57,0,42,0
109401042,3 ,23 ,1,52,0,47,0
109401042,4 ,1 ,-1,100,0,0,0
109401042,5 ,5 ,1,60,0,40,0
109401042,6 ,3 ,1,66,0,33,0
109401042,7 ,7 ,1,57,14,28,0
109401528,1 ,6 ,1,50,33,16,0
109401528,2 ,20 ,1,50,15,35,0
109401528,3 ,70 ,0,50,15,34,0
109401528,4 ,1 ,-1,100,0,0,0
109401528,5 ,42 ,0,50,7,42,0
109401528,6 ,58 ,0,50,18,31,0
109401528,7 ,46 ,0,50,4,45,0
109408001,1 ,1 ,-1,0,0,0,100
109408001,2 ,33 ,0,51,42,6,0
109408001,3 ,27 ,0,51,25,22,0
109408001,4 ,1 ,-1,100,0,0,0
109408001,5 ,53 ,0,50,45,3,0
109408001,6 ,5 ,1,60,0,40,0
109408001,7 ,15 ,1,53,0,46,0
109408002,1 ,1 ,-1,100,0,0,0
109408002,2 ,57 ,0,50,43,5,0
109408002,3 ,56 ,0,50,44,5,0
109408002,4 ,1 ,-1,100,0,0,0
109408002,5 ,61 ,0,50,40,8,0
109408002,6 ,49 ,0,51,46,2,0
109408002,7 ,35 ,0,51,45,2,0
109408011,1 ,1 ,-1,100,0,0,0
109408011,2 ,37 ,0,51,43,5,0
109408011,3 ,45 ,0,51,37,11,0
109408011,4 ,1 ,-1,100,0,0,0
109408011,5 ,9 ,1,55,22,22,0
109408011,6 ,23 ,1,52,43,4,0
109408011,7 ,7 ,1,57,28,14,0
109408510,1 ,3 ,1,66,33,0,0
109408510,2 ,74 ,0,50,40,9,0
109408510,3 ,51 ,0,45,35,19,0
109408510,4 ,1 ,-1,100,0,0,0
109408510,5 ,39 ,0,51,41,7,0
109408510,6 ,22 ,1,50,31,18,0
109408510,7 ,13 ,1,53,30,15,0
109408514,1 ,11 ,1,54,45,0,0
109408514,2 ,49 ,0,51,32,16,0
109408514,3 ,79 ,0,50,29,20,0
109408514,4 ,1 ,-1,100,0,0,0
109408514,5 ,53 ,0,50,30,18,0
109408514,6 ,50 ,0,50,36,14,0
109408514,7 ,27 ,0,51,33,14,0
109408529,1 ,1 ,-1,100,0,0,0
109408529,2 ,68 ,0,48,36,14,0
109408529,3 ,126 ,0,48,20,30,0
109408529,4 ,1 ,-1,100,0,0,0
109408529,5 ,74 ,0,50,31,18,0
109408529,6 ,45 ,0,51,33,15,0
109408529,7 ,44 ,0,50,27,22,0
109408533,1 ,5 ,1,60,40,0,0
109408533,2 ,32 ,0,50,40,9,0
109408533,3 ,64 ,0,50,18,31,0
109408533,4 ,1 ,-1,100,0,0,0
109408533,5 ,15 ,1,53,20,26,0
109408533,6 ,37 ,0,51,24,24,0
109408533,7 ,31 ,0,51,9,38,0
109408541,1 ,1 ,-1,100,0,0,0
109408541,2 ,5 ,1,60,0,40,0
109408541,3 ,3 ,1,66,0,33,0
109408541,4 ,1 ,-1,100,0,0,0
109408541,5 ,10 ,1,50,10,40,0
109408541,6 ,5 ,1,60,0,40,0
109408541,7 ,9 ,1,55,0,44,0
109408546,1 ,1 ,-1,100,0,0,0
109408546,2 ,69 ,0,50,27,21,0
109408546,3 ,44 ,0,50,29,20,0
109408546,4 ,1 ,-1,100,0,0,0
109408546,5 ,22 ,1,50,36,13,0
109408546,6 ,50 ,0,50,30,20,0
109408546,7 ,38 ,0,50,18,31,0
109409017,1 ,1 ,-1,0,0,0,100
109409017,2 ,5 ,1,60,0,40,0
109409017,3 ,7 ,1,57,0,42,0
109409017,4 ,1 ,-1,100,0,0,0
109409017,5 ,3 ,1,66,0,33,0
109409017,6 ,6 ,1,50,16,33,0
109409017,7 ,5 ,1,60,0,40,0
109503526,1 ,1 ,-1,100,0,0,0
109503526,2 ,23 ,1,52,13,34,0
109503526,3 ,33 ,0,51,24,24,0
109503526,4 ,1 ,-1,100,0,0,0
109503526,5 ,13 ,1,53,0,46,0
109503526,6 ,17 ,1,52,0,47,0
109503526,7 ,7 ,1,57,0,42,0
109605514,1 ,1 ,-1,0,0,0,100
109605514,2 ,7 ,1,57,0,42,0
109605514,3 ,7 ,1,57,0,42,0
109605514,4 ,1 ,-1,100,0,0,0
109605514,5 ,5 ,1,60,20,20,0
109605514,6 ,3 ,1,66,0,33,0
109605514,7 ,8 ,1,50,0,50,0
110102010,1 ,12 ,1,50,41,8,0
110102010,2 ,40 ,0,50,27,22,0
110102010,3 ,39 ,0,51,43,5,0
110102010,4 ,3 ,1,66,0,33,0
110102010,5 ,41 ,0,51,46,2,0
110102010,6 ,43 ,0,51,41,6,0
110102010,7 ,11 ,1,54,36,9,0
110102527,1 ,1 ,-1,0,0,0,100
110102527,2 ,29 ,0,51,31,17,0
110102527,3 ,6 ,1,50,0,50,0
110102527,4 ,1 ,-1,100,0,0,0
110102527,5 ,23 ,1,52,30,17,0
110102527,6 ,17 ,1,52,35,11,0
110102527,7 ,9 ,1,55,22,22,0
110102528,1 ,15 ,1,53,40,6,0
110102528,2 ,50 ,0,50,36,14,0
110102528,3 ,49 ,0,51,34,14,0
110102528,4 ,9 ,1,55,0,44,0
110102528,5 ,87 ,0,50,27,21,0
110102528,6 ,45 ,0,51,44,4,0
110102528,7 ,33 ,0,51,45,3,0
110401055,1 ,1 ,-1,100,0,0,0
110401055,2 ,6 ,1,50,0,50,0
110401055,3 ,3 ,1,66,0,33,0
110401055,4 ,1 ,-1,100,0,0,0
110401055,5 ,3 ,1,66,0,33,0
110401055,6 ,3 ,1,66,0,33,0
110401055,7 ,3 ,1,66,0,33,0
110401059,1 ,1 ,-1,0,0,0,100
110401059,2 ,13 ,1,53,15,30,0
110401059,3 ,3 ,1,66,0,33,0
110401059,4 ,1 ,-1,100,0,0,0
110401059,5 ,3 ,1,66,0,33,0
110401059,6 ,3 ,1,66,0,33,0
110401059,7 ,3 ,1,66,0,33,0
110409529,1 ,1 ,-1,100,0,0,0
110409529,2 ,7 ,1,57,14,28,0
110409529,3 ,3 ,1,66,0,33,0
110409529,4 ,1 ,-1,100,0,0,0
110409529,5 ,9 ,1,55,0,44,0
110409529,6 ,4 ,1,50,0,50,0
110409529,7 ,1 ,-1,100,0,0,0
110409537,1 ,1 ,-1,100,0,0,0
110409537,2 ,1 ,-1,0,0,0,100
110409537,3 ,1 ,-1,0,0,0,100
110409537,4 ,1 ,-1,0,0,0,100
110409537,5 ,1 ,-1,0,0,0,100
110409537,6 ,1 ,-1,100,0,0,0
110409537,7 ,1 ,-1,0,0,0,100
110801005,1 ,5 ,1,60,20,20,0
110801005,2 ,47 ,0,48,25,25,0
110801005,3 ,7 ,1,57,0,42,0
110801005,4 ,1 ,-1,100,0,0,0
110801005,5 ,9 ,1,55,11,33,0
110801005,6 ,5 ,1,60,20,20,0
110801005,7 ,7 ,1,57,14,28,0
110801509,1 ,1 ,-1,100,0,0,0
110801509,2 ,37 ,0,48,29,21,0
110801509,3 ,11 ,1,54,9,36,0
110801509,4 ,1 ,-1,100,0,0,0
110801509,5 ,3 ,1,66,0,33,0
110801509,6 ,9 ,1,55,33,11,0
110801509,7 ,13 ,1,53,30,15,0
110821010,1 ,5 ,1,60,40,0,0
110821010,2 ,39 ,0,51,46,2,0
110821010,3 ,65 ,0,50,47,1,0
110821010,4 ,1 ,-1,0,0,0,100
110821010,5 ,50 ,0,50,40,10,0
110821010,6 ,53 ,0,50,47,1,0
110821010,7 ,20 ,1,50,50,0,0
111101021,1 ,1 ,-1,100,0,0,0
111101021,2 ,25 ,0,48,8,44,0
111101021,3 ,1 ,-1,0,0,0,100
111101021,4 ,1 ,-1,0,0,0,100
111101021,5 ,20 ,1,50,10,40,0
111101021,6 ,18 ,1,50,5,44,0
111101021,7 ,5 ,1,60,0,40,0
111108001,1 ,5 ,1,60,40,0,0
111108001,2 ,21 ,1,52,19,28,0
111108001,3 ,21 ,1,52,28,19,0
111108001,4 ,1 ,-1,100,0,0,0
111108001,5 ,9 ,1,55,0,44,0
111108001,6 ,5 ,1,60,20,20,0
111108001,7 ,9 ,1,55,0,44,0
111408010,1 ,37 ,0,51,43,5,0
111408010,2 ,99 ,0,48,34,17,0
111408010,3 ,27 ,0,51,0,48,0
111408010,4 ,35 ,0,51,45,2,0
111408010,5 ,49 ,0,51,32,16,0
111408010,6 ,33 ,0,51,21,27,0
111408010,7 ,13 ,1,53,7,38,0
111409523,1 ,10 ,1,50,40,10,0
111409523,2 ,39 ,0,51,38,10,0
111409523,3 ,23 ,1,52,43,4,0
111409523,4 ,2 ,1,50,50,0,0
111409523,5 ,36 ,0,50,44,5,0
111409523,6 ,30 ,0,50,46,3,0
111409523,7 ,13 ,1,53,38,7,0
111409524,1 ,25 ,0,48,44,8,0
111409524,2 ,34 ,0,50,44,5,0
111409524,3 ,15 ,1,53,40,6,0
111409524,4 ,1 ,-1,100,0,0,0
111409524,5 ,5 ,1,60,20,20,0
111409524,6 ,11 ,1,54,36,9,0
111409524,7 ,3 ,1,66,0,33,0
